id,key,value,type
62945607,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945642,source,massgis_import_v0.1_20071009085127,regular
62945642,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945725,source,massgis_import_v0.1_20071009085127,regular
62945964,source,massgis_import_v0.1_20071009085127,regular
62945964,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62946009,source,massgis_import_v0.1_20071009085127,regular
62946009,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62946101,source,massgis_import_v0.1_20071009085127,regular
62946101,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62946381,source,massgis_import_v0.1_20071009085127,regular
62946381,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62946382,source,massgis_import_v0.1_20071009085127,regular
62946382,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62946480,source,massgis_import_v0.1_20071009085127,regular
62946537,source,massgis_import_v0.1_20071009085127,regular
62946537,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947043,source,massgis_import_v0.1_20071009085127,regular
62947043,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947054,source,massgis_import_v0.1_20071009085127,regular
62947054,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947119,source,massgis_import_v0.1_20071009085127,regular
62947120,source,massgis_import_v0.1_20071009085127,regular
62947120,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947126,source,massgis_import_v0.1_20071009085127,regular
62947126,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947139,source,massgis_import_v0.1_20071009085127,regular
62947145,source,massgis_import_v0.1_20071009085127,regular
62947145,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947150,source,massgis_import_v0.1_20071009085127,regular
62947151,source,massgis_import_v0.1_20071009085127,regular
62947151,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947155,source,massgis_import_v0.1_20071009085127,regular
62947155,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947184,source,massgis_import_v0.1_20071009085127,regular
62947184,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947189,source,massgis_import_v0.1_20071009085127,regular
62947189,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947198,source,massgis_import_v0.1_20071009085127,regular
62947198,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947297,source,massgis_import_v0.1_20071009085127,regular
62947297,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947343,source,massgis_import_v0.1_20071009085127,regular
62947343,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947375,source,massgis_import_v0.1_20071009085127,regular
62947379,source,massgis_import_v0.1_20071009085127,regular
62947379,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947393,source,massgis_import_v0.1_20071009085127,regular
62947393,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947399,source,massgis_import_v0.1_20071009085127,regular
62947399,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947419,source,massgis_import_v0.1_20071009085127,regular
62947424,source,massgis_import_v0.1_20071009085127,regular
62947424,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947454,source,massgis_import_v0.1_20071009085127,regular
62947457,source,massgis_import_v0.1_20071009085127,regular
62947457,attribution,Office of Geographic and Environmental Information (MassGIS),regular
