id,user,uid,version,changeset,timestamp
8882811,MassGIS Import,15750,1,101798,2007-10-11T18:00:09Z
8882812,MassGIS Import,15750,1,101798,2007-10-11T18:00:09Z
8882814,RacerChick,2119035,3,31904934,2015-06-11T19:20:11Z
8882824,Maskulinum,618377,2,22742017,2014-06-04T19:51:55Z
8882827,MassGIS Import,15750,1,101798,2007-10-11T18:00:14Z
8882829,MassGIS Import,15750,1,101798,2007-10-11T18:00:15Z
8882832,MassGIS Import,15750,1,101798,2007-10-11T18:00:16Z
8882833,MassGIS Import,15750,1,101798,2007-10-11T18:00:16Z
8882834,OceanVortex,354704,2,19324328,2013-12-07T15:18:20Z
8882836,MassGIS Import,15750,1,101798,2007-10-11T18:00:18Z
8882837,MassGIS Import,15750,1,101798,2007-10-11T18:00:18Z
8882839,MassGIS Import,15750,1,101798,2007-10-11T18:00:19Z
8882841,MassGIS Import,15750,1,101798,2007-10-11T18:00:20Z
8882842,OceanVortex,354704,2,18720717,2013-11-04T21:58:06Z
8882854,MassGIS Import,15750,1,101798,2007-10-11T18:00:25Z
8882859,MassGIS Import,15750,1,101798,2007-10-11T18:00:27Z
8882860,MassGIS Import,15750,1,101798,2007-10-11T18:00:28Z
8882873,MassGIS Import,15750,1,101798,2007-10-11T18:00:34Z
8882874,MassGIS Import,15750,1,101798,2007-10-11T18:00:35Z
8882875,MassGIS Import,15750,1,101798,2007-10-11T18:00:35Z
8882879,MassGIS Import,15750,1,101798,2007-10-11T18:00:37Z
8882884,MassGIS Import,15750,1,101798,2007-10-11T18:00:39Z
8882889,MassGIS Import,15750,1,101798,2007-10-11T18:00:40Z
8882890,MassGIS Import,15750,1,101798,2007-10-11T18:00:41Z
8882898,NE2,207745,2,8812374,2011-07-24T07:12:47Z
8882900,MassGIS Import,15750,1,101798,2007-10-11T18:00:44Z
8882902,LBenoit,2418192,2,26259117,2014-10-22T16:20:02Z
8882911,MassGIS Import,15750,1,101798,2007-10-11T18:00:49Z
8882913,MassGIS Import,15750,1,101798,2007-10-11T18:00:50Z
8882916,MassGIS Import,15750,1,101798,2007-10-11T18:00:51Z
8882922,user_599436,599436,5,35174522,2015-11-08T17:49:07Z
